clouds,datetime,dewpt,dhi,dni,ghi,precip,pres,rh,slp,solar_rad,temp,ts,wind_dir,wind_spd
69,2019-01-01,18.8,57,453,376,1.0,886,79,1019,319,22.7,1546290000.0,52,3.2
76,2019-01-02,19.0,57,453,376,8.3,884,79,1017,223,23.2,1546376400.0,54,2.5
74,2019-01-03,19.7,57,453,375,11.0,883,82,1015,222,23.0,1546462800.0,164,1.2
94,2019-01-04,19.7,57,453,375,9.8,883,77,1014,157,24.3,1546549200.0,187,1.5
77,2019-01-05,18.9,57,453,375,6.0,882,72,1014,247,24.6,1546635600.0,191,1.0
66,2019-01-06,20.0,57,453,375,45.0,881,79,1012,321,24.0,1546722000.0,128,1.4
98,2019-01-07,20.2,57,453,375,42.8,880,88,1012,93,22.4,1546808400.0,94,1.4
93,2019-01-08,20.9,57,452,374,21.5,879,84,1010,138,23.9,1546894800.0,165,1.6
84,2019-01-09,21.4,57,452,374,26.0,880,86,1011,207,24.0,1546981200.0,219,1.1
94,2019-01-10,21.2,57,452,374,43.0,880,89,1012,163,23.3,1547067600.0,173,1.1
98,2019-01-11,21.4,57,451,373,35.0,880,92,1012,104,22.9,1547154000.0,109,1.5
100,2019-01-12,21.0,57,451,373,15.5,881,88,1013,92,23.2,1547240400.0,105,1.6
81,2019-01-13,20.7,57,451,373,15.3,883,84,1015,309,23.8,1547326800.0,54,2.8
96,2019-01-14,20.4,57,450,372,3.3,885,83,1017,169,23.7,1547413200.0,51,2.9
92,2019-01-15,19.6,57,450,372,2.3,885,79,1017,154,23.7,1547499600.0,50,2.9
61,2019-01-16,19.7,57,450,371,15.8,884,77,1015,343,24.3,1547586000.0,84,2.1
76,2019-01-17,19.9,57,449,371,25.8,882,80,1013,266,23.9,1547672400.0,147,1.5
98,2019-01-18,20.9,57,449,370,15.3,881,86,1012,115,23.5,1547758800.0,169,1.3
95,2019-01-19,21.0,57,448,370,19.3,880,86,1012,145,23.8,1547845200.0,179,1.2
98,2019-01-20,21.1,57,448,369,17.3,880,90,1012,105,22.9,1547931600.0,148,1.2
100,2019-01-21,21.4,57,447,369,8.0,882,91,1014,64,23.0,1548018000.0,71,2.8
99,2019-01-22,20.4,57,447,368,9.8,880,87,1012,86,22.6,1548104400.0,62,4.6
100,2019-01-23,21.1,57,446,367,39.0,879,92,1011,62,22.5,1548190800.0,53,2.2
99,2019-01-24,20.3,56,446,367,11.8,878,84,1009,94,23.2,1548277200.0,67,3.4
100,2019-01-25,20.4,56,445,366,19.3,877,82,1008,93,23.9,1548363600.0,269,4.2
98,2019-01-26,18.8,56,444,365,2.0,880,81,1012,105,22.5,1548450000.0,224,2.4
69,2019-01-27,17.7,56,444,365,1.5,881,82,1014,308,21.1,1548536400.0,152,1.5
86,2019-01-28,16.7,56,443,364,2.5,883,84,1017,205,19.5,1548622800.0,100,2.6
83,2019-01-29,15.8,56,442,363,0.0,884,81,1018,146,19.3,1548709200.0,83,3.0
72,2019-01-30,16.3,56,442,362,0.0,884,79,1017,243,20.4,1548795600.0,71,2.7
65,2019-01-31,17.9,56,441,361,1.0,884,81,1017,309,21.5,1548882000.0,64,2.5
66,2019-02-01,19.0,56,440,361,2.5,884,83,1017,319,22.1,1548968400.0,65,2.1
