Cobertura Nuvens (%),Data,Ponto Orvalho (°C),Irradiacao Solar Difusa Media (W/m²),Irradiacao Solar Direta Media (W/m²),Irradiacao Solar Horizontal Media (W/m²),Irradiacao Solar Difusa Max (W/m²),Irradiacao Solar Direta Max (W/m²),Irradiacao Solar Horizontal Max (W/m²),Temp Max (°C),Horario Temp Max,Indice UV Max,Direcao Max Vento (graus),Velocidade Max Vento (m/s),max_wind_spd_ts,Temp Min (°C),Horario Temp Min,Precipitacao (mm),Precipitacao Estimada (mm),Pressao Media (mb),Status Revisao,Umidade Relativa (%),Pressao ao Nivel do Mar (mb),Neve Acumulada (mm),Profundidade Neve (mm),Radiacao Solar Media (W/m²),Irradiacao Solar Difusa Total (W/m²),Irradiacao Solar Direta Total (W/m²),Irradiacao Solar Horizontal Total (W/m²),Radiacao Solar Total (W/m²),Temp Media (°C),Timestamp,Direcao Vento (graus),Rajada Vento (m/s),Velocidade Vento (m/s)
52,2023-01-01,17.8,57,453,376,135,998,1123,28.1,1672574400,8.5,117,2.4,1672574400,18.9,1672531200,0.8,0.8,883,final,74,1015,0,,358,1379,10882,9019,8581,23.0,1672520400,117,6.8,1.9
79,2023-01-02,18.7,57,453,376,135,998,1123,27.0,1672646400,6.6,108,2.0,1672660800,19.6,1672675200,45.3,45.3,883,final,80,1016,0,,217,1379,10880,9015,5207,22.5,1672606800,108,6.8,1.5
96,2023-01-03,18.4,57,453,375,135,998,1123,25.6,1672743600,4.0,55,3.6,1672743600,19.3,1672711200,17.8,17.8,884,final,82,1017,0,,113,1378,10877,9011,2720,21.7,1672693200,55,9.6,2.7
100,2023-01-04,18.6,57,453,375,135,998,1122,23.3,1672822800,4.0,52,3.6,1672833600,18.9,1672783200,20.5,20.5,883,final,88,1017,0,,80,1378,10873,9007,1912,20.8,1672779600,52,10.4,3.0
98,2023-01-05,18.5,57,453,375,135,998,1122,24.8,1672909200,4.0,49,4.0,1672916400,18.9,1672884000,15.0,15.0,883,final,86,1016,0,,102,1377,10869,9002,2447,21.1,1672866000,49,10.4,3.0
89,2023-01-06,19.0,57,453,375,135,998,1122,26.7,1673002800,4.8,47,4.4,1673002800,19.3,1672970400,10.5,10.5,885,final,83,1017,0,,167,1377,10865,8996,3999,22.2,1672952400,47,11.2,3.0
44,2023-01-07,18.6,57,453,375,135,998,1122,28.1,1673089200,10.9,75,4.0,1673092800,18.9,1673056800,10.0,10.0,884,final,77,1017,0,,366,1376,10860,8990,8784,23.3,1673038800,75,10.8,2.2
87,2023-01-08,19.4,57,452,374,135,998,1122,28.5,1673168400,5.4,82,3.2,1673175600,20.0,1673128800,16.0,16.0,883,final,80,1015,0,,191,1375,10855,8983,4584,23.4,1673125200,82,8.8,1.9
92,2023-01-09,20.4,57,452,374,135,998,1122,26.7,1673262000,5.8,49,3.2,1673265600,20.7,1673215200,57.5,57.5,884,final,86,1017,0,,210,1375,10849,8976,5045,22.9,1673211600,49,9.6,2.1
98,2023-01-10,19.4,57,452,374,135,998,1121,26.7,1673352000,4.4,59,3.2,1673352000,19.3,1673380800,64.5,64.5,883,final,84,1016,0,,125,1374,10842,8968,2994,22.4,1673298000,59,9.2,2.4
