clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,Temp Min (°C),min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
69,2019-01-01,18.8,57,453,376,135,998,1123,27.0,1546293600,7.7,52,4.0,1546290000,20.0,1546308000,1.0,1.0,886,final,79,1019,0,,319,1379,10882,9019,7647,22.7,1546290000,52,10.4,3.2
76,2019-01-02,19.0,57,453,376,135,998,1123,28.9,1546426800,5.6,54,4.0,1546394400,19.6,1546394400,8.3,8.3,884,final,79,1017,0,,223,1379,10880,9015,5345,23.2,1546376400,54,10.0,2.5
74,2019-01-03,19.7,57,453,375,135,998,1123,27.8,1546502400,6.3,164,1.6,1546545600,20.0,1546473600,11.0,11.0,883,final,82,1015,0,,222,1378,10877,9011,5319,23.0,1546462800,164,6.8,1.2
94,2019-01-04,19.7,57,453,375,135,998,1122,28.9,1546599600,4.9,187,2.4,1546632000,20.0,1546567200,9.8,9.8,883,final,77,1014,0,,157,1378,10873,9007,3767,24.3,1546549200,187,8.0,1.5
77,2019-01-05,18.9,57,453,375,135,998,1122,28.9,1546678800,6.2,191,2.0,1546689600,20.7,1546653600,6.0,6.0,882,final,72,1014,0,,247,1377,10869,9002,5924,24.6,1546635600,191,7.6,1.0
66,2019-01-06,20.0,57,453,375,135,998,1122,30.0,1546772400,10.5,128,2.4,1546804800,20.7,1546740000,45.0,45.0,881,final,79,1012,0,,321,1377,10865,8996,7703,24.0,1546722000,128,7.6,1.4
98,2019-01-07,20.2,57,453,375,135,998,1122,25.9,1546858800,4.1,94,2.0,1546851600,20.4,1546826400,42.8,42.8,880,final,88,1012,0,,93,1376,10860,8990,2222,22.4,1546808400,94,6.4,1.4
93,2019-01-08,20.9,57,452,374,135,998,1122,28.9,1546977600,4.5,165,2.0,1546977600,20.4,1546894800,21.5,21.5,879,final,84,1010,0,,138,1375,10855,8983,3310,23.9,1546894800,165,8.8,1.6
84,2019-01-09,21.4,57,452,374,135,998,1122,28.1,1546981200,5.7,219,2.0,1546995600,21.1,1547060400,26.0,26.0,880,final,86,1011,0,,207,1375,10849,8976,4962,24.0,1546981200,219,7.2,1.1
94,2019-01-10,21.2,57,452,374,135,998,1121,28.9,1547067600,7.3,173,2.0,1547067600,20.7,1547085600,43.0,43.0,880,final,89,1012,0,,163,1374,10842,8968,3910,23.3,1547067600,173,7.2,1.1
98,2019-01-11,21.4,57,451,373,135,998,1121,24.8,1547186400,4.3,109,2.0,1547193600,21.1,1547172000,35.0,35.0,880,final,92,1012,0,,104,1373,10835,8960,2489,22.9,1547154000,109,6.0,1.5
100,2019-01-12,21.0,57,451,373,135,998,1121,27.8,1547323200,4.2,105,2.0,1547323200,21.1,1547258400,15.5,15.5,881,final,88,1013,0,,92,1372,10828,8951,2203,23.2,1547240400,105,6.8,1.6
81,2019-01-13,20.7,57,451,373,135,998,1121,27.4,1547330400,9.9,54,5.2,1547330400,20.7,1547409600,15.3,15.3,883,final,84,1015,0,,309,1371,10820,8942,7412,23.8,1547326800,54,12.8,2.8
96,2019-01-14,20.4,57,450,372,135,997,1120,27.8,1547467200,6.1,51,4.4,1547431200,20.7,1547431200,3.3,3.3,885,final,83,1017,0,,169,1370,10811,8932,4047,23.7,1547413200,51,11.6,2.9
92,2019-01-15,19.6,57,450,372,134,997,1120,27.8,1547542800,4.2,50,4.4,1547582400,20.4,1547510400,2.3,2.3,885,final,79,1017,0,,154,1369,10802,8921,3698,23.7,1547499600,50,10.8,2.9
61,2019-01-16,19.7,57,450,371,134,997,1119,30.0,1547636400,10.7,84,4.0,1547668800,20.4,1547604000,15.8,15.8,884,final,77,1015,0,,343,1367,10793,8910,8227,24.3,1547586000,84,10.4,2.1
76,2019-01-17,19.9,57,449,371,134,997,1119,29.6,1547712000,9.5,147,2.0,1547712000,20.4,1547690400,25.8,25.8,882,final,80,1013,0,,266,1366,10782,8899,6388,23.9,1547672400,147,7.6,1.5
98,2019-01-18,20.9,57,449,370,134,997,1118,27.8,1547798400,4.2,169,2.0,1547776800,20.7,1547776800,15.3,15.3,881,final,86,1012,0,,115,1365,10772,8887,2757,23.5,1547758800,169,7.6,1.3
95,2019-01-19,21.0,57,448,370,134,996,1118,28.1,1547924400,4.1,179,2.0,1547928000,20.4,1547863200,19.3,19.3,880,final,86,1012,0,,145,1363,10761,8874,3485,23.8,1547845200,179,8.0,1.2
98,2019-01-20,21.1,57,448,369,134,996,1117,27.8,1547974800,4.2,148,1.6,1547985600,20.7,1547949600,17.3,17.3,880,final,90,1012,0,,105,1362,10749,8861,2519,22.9,1547931600,148,7.6,1.2
100,2019-01-21,21.4,57,447,369,134,996,1117,25.2,1548050400,3.9,71,4.4,1548061200,21.5,1548082800,8.0,8.0,882,final,91,1014,0,,64,1360,10737,8847,1548,23.0,1548018000,71,12.0,2.8
99,2019-01-22,20.4,57,447,368,134,996,1116,24.8,1548158400,4.1,62,6.0,1548187200,21.5,1548126000,9.8,9.8,880,final,87,1012,0,,86,1358,10724,8833,2057,22.6,1548104400,62,16.0,4.6
100,2019-01-23,21.1,57,446,367,134,995,1115,25.2,1548241200,3.9,53,3.2,1548234000,20.7,1548266400,39.0,39.0,879,final,92,1011,0,,62,1357,10711,8817,1481,22.5,1548190800,53,10.4,2.2
99,2019-01-24,20.3,56,446,367,134,995,1114,26.7,1548327600,4.0,67,4.4,1548338400,20.7,1548277200,11.8,11.8,878,final,84,1009,0,,94,1355,10697,8802,2251,23.2,1548277200,67,15.6,3.4
